nohup: ignoring input
***** Case No.115 *****
BLEU Score: 0.474433
METEOR Score: 0.764729
ROUGE Score: 0.470588
***** Case No.116 *****
BLEU Score: 1.000000
METEOR Score: 0.999818
ROUGE Score: 1.000000
***** Case No.117 *****
BLEU Score: 0.728551
METEOR Score: 0.914499
ROUGE Score: 0.880000
***** Case No.118 *****
BLEU Score: 0.842363
METEOR Score: 0.999772
ROUGE Score: 0.888889
***** Case No.119 *****
BLEU Score: 0.644765
METEOR Score: 0.860448
ROUGE Score: 0.720000
***** Case No.120 *****
BLEU Score: 0.560714
METEOR Score: 0.648931
ROUGE Score: 0.592593
***** Case No.121 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.122 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.123 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.124 *****
BLEU Score: 0.377733
METEOR Score: 0.568545
ROUGE Score: 0.352941
***** Case No.125 *****
BLEU Score: 0.587728
METEOR Score: 0.813692
ROUGE Score: 0.571429
***** Case No.126 *****
BLEU Score: 0.407163
METEOR Score: 0.644769
ROUGE Score: 0.470588
***** Case No.127 *****
BLEU Score: 0.280395
METEOR Score: 0.863549
ROUGE Score: 0.285714
***** Case No.128 *****
BLEU Score: 0.516657
METEOR Score: 0.568545
ROUGE Score: 0.555556
***** Case No.129 *****
BLEU Score: 0.625035
METEOR Score: 0.705256
ROUGE Score: 0.666667
***** Case No.130 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.131 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.132 *****
BLEU Score: 0.371781
METEOR Score: 0.605023
ROUGE Score: 0.375000
***** Case No.133 *****
BLEU Score: 0.160072
METEOR Score: 0.447209
ROUGE Score: 0.277778
***** Case No.134 *****
BLEU Score: 0.560246
METEOR Score: 0.690230
ROUGE Score: 0.571429
***** Case No.135 *****
BLEU Score: 0.552876
METEOR Score: 0.794534
ROUGE Score: 0.689655
***** Case No.136 *****
BLEU Score: 0.904837
METEOR Score: 0.917374
ROUGE Score: 0.944444
***** Case No.137 *****
BLEU Score: 0.588261
METEOR Score: 0.768602
ROUGE Score: 0.615385
***** Case No.138 *****
BLEU Score: 0.359973
METEOR Score: 0.534785
ROUGE Score: 0.344828
***** Case No.139 *****
BLEU Score: 0.458235
METEOR Score: 0.633446
ROUGE Score: 0.500000
***** Case No.140 *****
BLEU Score: 0.045595
METEOR Score: 0.646377
ROUGE Score: 0.000000
***** Case No.141 *****
BLEU Score: 0.762466
METEOR Score: 0.985673
ROUGE Score: 0.846154
***** Case No.142 *****
BLEU Score: 0.897954
METEOR Score: 0.946719
ROUGE Score: 0.875000
***** Case No.143 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.144 *****
BLEU Score: 0.761161
METEOR Score: 0.920940
ROUGE Score: 0.777778
***** Case No.145 *****
BLEU Score: 0.650740
METEOR Score: 0.822471
ROUGE Score: 0.666667
***** Case No.146 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.147 *****
BLEU Score: 0.298787
METEOR Score: 0.811173
ROUGE Score: 0.275862
***** Case No.148 *****
BLEU Score: 0.519208
METEOR Score: 0.601604
ROUGE Score: 0.560000
***** Case No.149 *****
BLEU Score: 0.435603
METEOR Score: 0.707547
ROUGE Score: 0.434783
***** Case No.150 *****
BLEU Score: 0.488682
METEOR Score: 0.592287
ROUGE Score: 0.560000
***** Case No.151 *****
BLEU Score: 0.774922
METEOR Score: 0.997952
ROUGE Score: 0.809524
***** Case No.152 *****
BLEU Score: 0.188302
METEOR Score: 0.521566
ROUGE Score: 0.333333
***** Case No.153 *****
BLEU Score: 0.173588
METEOR Score: 0.641105
ROUGE Score: 0.129032
***** Case No.154 *****
BLEU Score: 0.276854
METEOR Score: 0.554613
ROUGE Score: 0.325581
***** Case No.155 *****
BLEU Score: 0.753922
METEOR Score: 0.906359
ROUGE Score: 0.705882
***** Case No.156 *****
BLEU Score: 0.305041
METEOR Score: 0.668883
ROUGE Score: 0.296296
***** Case No.157 *****
BLEU Score: 0.035424
METEOR Score: 0.518018
ROUGE Score: 0.000000
***** Case No.158 *****
BLEU Score: 0.508599
METEOR Score: 0.962237
ROUGE Score: 0.592593
***** Case No.159 *****
BLEU Score: 0.126007
METEOR Score: 0.861008
ROUGE Score: 0.370370
***** Case No.160 *****
BLEU Score: 0.503175
METEOR Score: 0.977912
ROUGE Score: 0.526316
***** Case No.161 *****
BLEU Score: 0.227811
METEOR Score: 0.465132
ROUGE Score: 0.250000
***** Case No.162 *****
BLEU Score: 0.282252
METEOR Score: 0.593354
ROUGE Score: 0.285714
***** Case No.163 *****
BLEU Score: 0.503563
METEOR Score: 0.794681
ROUGE Score: 0.571429
***** Case No.164 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
