nohup: ignoring input
BLEU Score: 1.000000
METEOR Score: 0.999927
ROUGE Score: 1.000000
***** Case No.99 *****
BLEU Score: 0.458235
METEOR Score: 0.633446
ROUGE Score: 0.500000
***** Case No.100 *****
BLEU Score: 0.407163
METEOR Score: 0.600613
ROUGE Score: 0.470588
***** Case No.101 *****
BLEU Score: 0.302151
METEOR Score: 0.568153
ROUGE Score: 0.380952
***** Case No.102 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.103 *****
BLEU Score: 0.748740
METEOR Score: 0.999852
ROUGE Score: 0.750000
***** Case No.104 *****
BLEU Score: 0.328210
METEOR Score: 0.652794
ROUGE Score: 0.320000
***** Case No.105 *****
BLEU Score: 0.352174
METEOR Score: 0.658134
ROUGE Score: 0.526316
***** Case No.106 *****
BLEU Score: 0.833741
METEOR Score: 0.960338
ROUGE Score: 0.842105
***** Case No.107 *****
BLEU Score: 0.362885
METEOR Score: 0.746050
ROUGE Score: 0.400000
***** Case No.108 *****
BLEU Score: 0.075873
METEOR Score: 0.520833
ROUGE Score: 0.228571
***** Case No.109 *****
BLEU Score: 0.816480
METEOR Score: 0.912929
ROUGE Score: 0.903226
***** Case No.110 *****
BLEU Score: 0.813749
METEOR Score: 0.989006
ROUGE Score: 0.882353
***** Case No.111 *****
BLEU Score: 1.000000
METEOR Score: 0.999927
ROUGE Score: 1.000000
***** Case No.112 *****
BLEU Score: 0.415479
METEOR Score: 0.782295
ROUGE Score: 0.451613
***** Case No.113 *****
BLEU Score: 0.451544
METEOR Score: 0.735705
ROUGE Score: 0.444444
***** Case No.114 *****
BLEU Score: 0.474433
METEOR Score: 0.764729
ROUGE Score: 0.470588
***** Case No.115 *****
BLEU Score: 0.343893
METEOR Score: 0.599159
ROUGE Score: 0.222222
***** Case No.116 *****
BLEU Score: 1.000000
METEOR Score: 0.999818
ROUGE Score: 1.000000
***** Case No.117 *****
BLEU Score: 0.935133
METEOR Score: 0.993668
ROUGE Score: 0.960000
***** Case No.118 *****
BLEU Score: 0.544518
METEOR Score: 0.990560
ROUGE Score: 0.631579
***** Case No.119 *****
BLEU Score: 0.503534
METEOR Score: 0.855070
ROUGE Score: 0.560000
***** Case No.120 *****
BLEU Score: 0.560714
METEOR Score: 0.648931
ROUGE Score: 0.592593
***** Case No.121 *****
BLEU Score: 0.942615
METEOR Score: 0.994390
ROUGE Score: 0.965517
***** Case No.122 *****
BLEU Score: 0.405259
METEOR Score: 0.728177
ROUGE Score: 0.470588
***** Case No.123 *****
BLEU Score: 0.942615
METEOR Score: 0.994390
ROUGE Score: 0.965517
***** Case No.124 *****
BLEU Score: 0.377733
METEOR Score: 0.568545
ROUGE Score: 0.352941
***** Case No.125 *****
BLEU Score: 0.701688
METEOR Score: 0.905455
ROUGE Score: 0.769231
***** Case No.126 *****
BLEU Score: 0.407163
METEOR Score: 0.644769
ROUGE Score: 0.470588
***** Case No.127 *****
BLEU Score: 0.232109
METEOR Score: 0.908893
ROUGE Score: 0.250000
***** Case No.128 *****
BLEU Score: 0.516657
METEOR Score: 0.568545
ROUGE Score: 0.555556
***** Case No.129 *****
BLEU Score: 0.670929
METEOR Score: 0.979959
ROUGE Score: 0.800000
***** Case No.130 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.131 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.132 *****
BLEU Score: 0.371781
METEOR Score: 0.605023
ROUGE Score: 0.375000
***** Case No.133 *****
BLEU Score: 0.359404
METEOR Score: 0.662544
ROUGE Score: 0.489796
***** Case No.134 *****
BLEU Score: 0.559833
METEOR Score: 0.686578
ROUGE Score: 0.551724
***** Case No.135 *****
BLEU Score: 0.693994
METEOR Score: 0.801188
ROUGE Score: 0.758621
***** Case No.136 *****
BLEU Score: 1.000000
METEOR Score: 0.999953
ROUGE Score: 1.000000
***** Case No.137 *****
BLEU Score: 0.587738
METEOR Score: 0.764309
ROUGE Score: 0.592593
***** Case No.138 *****
BLEU Score: 0.259838
METEOR Score: 0.545910
ROUGE Score: 0.277778
***** Case No.139 *****
BLEU Score: 0.298831
METEOR Score: 0.527707
ROUGE Score: 0.370370
***** Case No.140 *****
BLEU Score: 0.352403
METEOR Score: 0.709712
ROUGE Score: 0.300000
***** Case No.141 *****
BLEU Score: 0.352730
METEOR Score: 0.970130
ROUGE Score: 0.444444
***** Case No.142 *****
BLEU Score: 0.771499
METEOR Score: 0.855511
ROUGE Score: 0.827586
***** Case No.143 *****
BLEU Score: 1.000000
METEOR Score: 0.999624
ROUGE Score: 1.000000
***** Case No.144 *****
BLEU Score: 0.470371
METEOR Score: 0.721154
ROUGE Score: 0.444444
***** Case No.145 *****
BLEU Score: 0.650740
METEOR Score: 0.822471
ROUGE Score: 0.666667
***** Case No.146 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.147 *****
BLEU Score: 0.487888
METEOR Score: 0.892982
ROUGE Score: 0.482759
***** Case No.148 *****
BLEU Score: 0.519208
METEOR Score: 0.601604
ROUGE Score: 0.560000
***** Case No.149 *****
BLEU Score: 0.433321
METEOR Score: 0.703125
ROUGE Score: 0.416667
***** Case No.150 *****
BLEU Score: 0.573899
METEOR Score: 0.764309
ROUGE Score: 0.592593
***** Case No.151 *****
BLEU Score: 0.531319
METEOR Score: 0.852626
ROUGE Score: 0.583333
